|6.6.6
antigorite_1.tab                                                                                    
           1
T(K)    
   0.0000000000000000     
   0.0000000000000000     
          16
           7
T(K)           P(bar)         rho,kg/m3      rho,kg/m3      SIO2,wt%       MGO,wt%        fo,vo%        
  923.150        13101.6        3042.12        1028.78        50.4470        47.7735        59.6718     
  923.150        13111.6        3042.16        1028.97        50.4470        47.7735        59.6721     
  923.150        13121.6        3042.20        1029.17        50.4470        47.7735        59.6724     
  923.150        13131.6        3042.24        1029.36        50.4470        47.7735        59.6727     
  923.150        13141.6        3042.28        1029.55        50.4470        47.7735        59.6730     
  923.150        13151.6        3042.32        1029.75        50.4470        47.7735        59.6733     
  923.150        13161.6        3042.36        1029.94        50.4470        47.7735        59.6736     
  923.150        13171.6        3042.40        1030.13        50.4470        47.7735        59.6738     
  923.150        13181.6        3042.44        1030.33        50.4470        47.7735        59.6741     
  923.150        13191.6        3042.48        1030.52        50.4470        47.7735        59.6744     
  923.150        13201.6        3042.52        1030.71        50.4470        47.7735        59.6747     
  923.150        13211.6        3042.56        1030.90        50.4470        47.7735        59.6750     
  923.150        13221.6        3042.60        1031.09        50.4470        47.7735        59.6753     
  923.150        13231.6        3042.64        1031.29        50.4470        47.7735        59.6756     
  923.150        13241.6        3042.68        1031.48        50.4470        47.7735        59.6759     
  923.150        13251.6        3042.72        1031.67        50.4470        47.7735        59.6762     
  923.150        13261.6        3042.77        1031.86        50.4470        47.7735        59.6765     
  923.150        13271.6        3042.81        1032.05        50.4470        47.7735        59.6767     
  923.150        13281.6        3042.85        1032.24        50.4470        47.7735        59.6770     
  923.150        13291.6        3042.89        1032.43        50.4470        47.7735        59.6773     
  923.150        13301.7        3042.93        1032.63        50.4470        47.7735        59.6776     
  923.150        13311.7        3042.97        1032.82        50.4470        47.7735        59.6779     
  923.150        13321.7        3043.01        1033.01        50.4470        47.7735        59.6782     
  923.150        13331.7        3043.05        1033.20        50.4470        47.7735        59.6785     
  923.150        13341.7        3043.09        1033.39        50.4470        47.7735        59.6788     
  923.150        13351.7        3043.13        1033.58        50.4470        47.7735        59.6791     
  923.150        13361.7        3043.17        1033.77        50.4470        47.7735        59.6794     
  923.150        13371.7        3043.21        1033.96        50.4470        47.7735        59.6796     
  923.150        13381.7        3043.25        1034.15        50.4470        47.7735        59.6799     
  923.150        13391.7        3043.29        1034.34        50.4470        47.7735        59.6802     
  923.150        13401.7        3043.33        1034.53        50.4470        47.7735        59.6805     
  923.150        13411.7        3043.37        1034.72        50.4470        47.7735        59.6808     
  923.150        13421.7        3043.41        1034.91        50.4470        47.7735        59.6811     
  923.150        13431.7        3043.45        1035.10        50.4470        47.7735        59.6814     
  923.150        13441.7        3043.49        1035.29        50.4470        47.7735        59.6817     
  923.150        13451.7        3043.53        1035.47        50.4470        47.7735        59.6820     
  923.150        13461.7        3043.57        1035.66        50.4470        47.7735        59.6823     
  923.150        13471.7        3043.61        1035.85        50.4470        47.7735        59.6825     
  923.150        13481.7        3043.65        1036.04        50.4470        47.7735        59.6828     
  923.150        13491.7        3043.70        1036.23        50.4470        47.7735        59.6831     
  923.150        13501.8        3043.74        1036.42        50.4470        47.7735        59.6834     
  923.150        13511.8        3043.78        1036.61        50.4470        47.7735        59.6837     
  923.150        13521.8        3043.82        1036.79        50.4470        47.7735        59.6840     
  923.150        13531.8        3043.86        1036.98        50.4470        47.7735        59.6843     
  923.150        13541.8        3043.90        1037.17        50.4470        47.7735        59.6846     
  923.150        13551.8        3043.94        1037.36        50.4470        47.7735        59.6849     
  923.150        13561.8        3043.98        1037.54        50.4470        47.7735        59.6852     
  923.150        13571.8        3044.02        1037.73        50.4470        47.7735        59.6854     
  923.150        13581.8        3044.06        1037.92        50.4470        47.7735        59.6857     
  923.150        13591.8        3044.10        1038.11        50.4470        47.7735        59.6860     
  923.150        13601.8        3044.14        1038.29        50.4470        47.7735        59.6863     
  923.150        13611.8        3044.18        1038.48        50.4470        47.7735        59.6866     
  923.150        13621.8        3044.22        1038.67        50.4470        47.7735        59.6869     
  923.150        13631.8        3044.26        1038.85        50.4470        47.7735        59.6872     
  923.150        13641.8        3044.30        1039.04        50.4470        47.7735        59.6875     
  923.150        13651.8        3044.34        1039.23        50.4470        47.7735        59.6878     
  923.150        13661.8        3044.38        1039.41        50.4470        47.7735        59.6880     
  923.150        13671.8        3044.42        1039.60        50.4470        47.7735        59.6883     
  923.150        13681.8        3044.46        1039.78        50.4470        47.7735        59.6886     
  923.150        13691.8        3044.50        1039.97        50.4470        47.7735        59.6889     
  923.150        13701.9        3044.54        1040.16        50.4470        47.7735        59.6892     
